county_name,crime_rate_per_100000,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population,Households,Mean,Stdev
"Coshocton County, OH",54.40696409,0,0,5,15,301,611,11,3,36760,5987.0,90052.7224786937,357157000.9321901
"Ransom County, ND",54.38723713,1,0,0,2,21,35,6,0,5516,1448.0,105523.02761811196,238104667.28812677
"Tippah County, MS",54.33798225,0,0,1,11,53,46,5,0,22084,175.0,64655.256358030005,59526166.82203169
"Dearborn County, IN",54.10387945,2,2,6,17,64,502,8,0,49904,4381.0,106674.43121661349,297630834.11015844
"Hancock County, IA",54.08328826,0,0,0,6,17,15,0,0,11094,2629.0,98994.59189618652,535735501.39828515
"Chaffee County, CO",54.02485143,0,2,0,8,48,221,4,1,18510,2984.0,107192.34554942203,178578500.4660951
"Crittenden County, KY",54.02485143,0,1,1,3,27,73,5,0,9255,89.0,70926.2933939322,59526166.82203169
"Ozaukee County, WI",53.989477799999996,0,1,6,40,165,727,14,1,87054,21765.0,169962.25503816362,357157000.9321901
"Waldo County, ME",53.92912173,1,4,2,14,231,444,27,6,38940,3603.0,103644.86826486264,178578500.4660951
"Powhatan County, VA",53.08043455,0,1,2,12,67,164,8,1,28259,116.0,190905.240835686,59526166.82203169
"Edwards County, TX",53.07855626,0,0,0,1,6,18,2,0,1884,481.0,74988.9878852041,59526166.82203169
"McCook County, SD",53.05978069,0,1,0,2,11,25,3,0,5654,1122.0,104826.52277508614,178578500.4660951
"Taylor County, WV",53.02539327,0,0,2,7,14,28,4,0,16973,2305.0,90729.0361899058,119052333.64406338
"Marinette County, WI",52.87190579,1,8,10,3,462,568,49,8,41610,818.0,67636.63082541346,238104667.28812677
"Fillmore County, MN",52.79577634,0,3,1,7,42,72,7,1,20835,651.0,119306.66277726115,238104667.28812677
"Lamar County, MS",52.72019183,1,6,11,14,461,544,24,1,58801,3847.0,72041.73592159429,178578500.4660951
"Knox County, IN",52.69536808,0,5,7,9,217,676,62,1,37954,8681.0,77761.48957900102,297630834.11015844
"Pearl River County, MS",52.65833818,0,3,9,17,141,346,23,4,55072,4067.0,81428.8431293624,59526166.82203169
"Grant County, KY",52.5188866,0,2,4,7,95,160,16,1,24753,1424.0,78401.7271090885,119052333.64406338
"Clinton County, OH",52.44963643,0,7,4,11,133,764,15,2,41945,6239.0,85420.25718156292,178578500.4660951
"Cache County, UT",52.17733451,0,19,4,38,374,1497,68,7,116909,21945.0,107628.53087933575,654787835.0423486
"Plymouth County, IA",52.0895941,2,3,0,8,52,173,13,4,24957,5522.0,95258.08230705844,238104667.28812677
"Cass County, IN",51.99802408,0,7,5,8,224,986,56,2,38463,6838.0,89402.38127399368,178578500.4660951
"Paulding County, OH",51.93725979,0,3,1,6,63,120,0,1,19254,632.0,80662.20594607567,178578500.4660951
"Greene County, IN",51.85930875,2,5,0,10,45,334,18,0,32781,2460.0,73184.90610379088,178578500.4660951
"Sullivan County, IN",51.83056118,3,1,0,7,64,252,17,0,21223,300.0,64262.42494516672,119052333.64406338
"George County, MS",51.815708799999996,2,1,1,8,41,106,4,0,23159,850.0,82021.84305286001,59526166.82203169
"Mercer County, OH",51.4907807,1,9,1,10,133,548,11,8,40784,7860.0,91348.13488242916,476209334.5762535
"Gilliam County, OR",51.36106831,0,0,0,1,5,9,2,1,1947,218.0,92251.0564211691,59526166.82203169
"Armstrong County, TX",51.30836326,0,0,0,1,14,11,3,0,1949,419.0,116382.01923203401,59526166.82203169
"Leake County, MS",51.30616957,0,0,3,9,17,30,1,0,23389,1711.0,104557.0648222152,178578500.4660951
"Lewis County, ID",51.25576627,0,0,0,2,11,16,5,0,3902,810.0,73008.12469792488,119052333.64406338
"Stewart County, GA",51.12474438,0,0,1,2,16,4,0,0,5868,1073.0,77954.84807594381,119052333.64406338
"Steele County, ND",51.02040816,0,1,0,0,5,1,1,0,1960,265.0,72287.98816868271,119052333.64406338
"Lake of the Woods County, MN",50.903537799999995,0,1,0,1,7,8,0,1,3929,95.0,51477.80833085771,178578500.4660951
"Gosper County, NE",50.70993915,0,1,0,0,5,25,1,1,1972,14.0,60142.01528409,59526166.82203169
"Benton County, IA",50.5856259,0,4,0,9,156,108,11,2,25699,4888.0,118426.27288850128,476209334.5762535
"Washington County, KY",50.52631579,0,1,1,3,39,21,6,1,11875,98.0,70795.9399466295,59526166.82203169
"York County, NE",50.42137866,0,2,4,1,47,209,9,1,13883,4273.0,111771.21456951529,357157000.9321901
"Larue County, KY",49.77246871,0,1,1,4,37,29,9,0,14064,1496.0,84897.87103155116,119052333.64406338
"Isanti County, MN",49.73301225,0,9,0,10,90,472,29,0,38204,2203.0,103008.07836910668,178578500.4660951
"Pittsylvania County, VA",49.65879601,2,6,8,15,209,383,51,6,62426,1236.0,96208.82130516048,178578500.4660951
"Vernon County, WI",49.45761482,0,5,0,10,59,200,10,1,30329,4031.0,96325.17221372256,476209334.5762535
"Dolores County, CO",49.28536225,0,0,0,1,15,11,0,0,2029,374.0,75209.0637740676,119052333.64406338
"Richardson County, NE",49.23076923,0,0,0,4,9,36,1,0,8125,2088.0,83840.76868935411,238104667.28812677
"Knox County, MO",49.17629702,0,0,0,2,15,24,0,2,4067,715.0,69773.55823824725,178578500.4660951
"Tuscarawas County, OH",48.55835635,1,8,10,25,275,685,48,5,92672,5416.0,78917.89045955279,476209334.5762535
"Keokuk County, IA",48.40739665,0,0,0,5,7,7,0,2,10329,1065.0,79261.69548359363,357157000.9321901
"Muhlenberg County, KY",48.10930434,0,5,1,9,53,125,22,3,31179,770.0,83273.85819147406,297630834.11015844
"Oldham County, KY",48.10467577,1,8,6,16,235,392,26,7,62364,4068.0,112916.24333297135,238104667.28812677
"LaMoure County, ND",48.00768123,0,0,1,1,2,6,3,0,4166,912.0,103881.70359668453,357157000.9321901
"Williams County, OH",48.0,0,7,1,10,139,432,28,5,37500,6932.0,77798.94529558212,416683167.7542218
"Carter County, KY",47.79060363,0,2,3,8,78,105,13,1,27202,767.0,72041.3305131887,59526166.82203169
"Warren County, IN",47.53416518,0,0,0,4,0,1,0,0,8415,1104.0,92497.17419271503,119052333.64406338
"Bracken County, KY",47.52851711,0,2,0,2,59,88,4,1,8416,281.0,82382.1149021857,119052333.64406338
"Belmont County, OH",47.43355709,0,5,3,25,248,580,42,3,69571,10600.0,96259.18102221089,714314001.8643804
"Crawford County, IN",47.07654646,0,0,0,5,107,11,5,0,10621,279.0,74289.26589152102,119052333.64406338
"Carroll County, IL",46.94835681,0,1,0,6,45,173,2,1,14910,2091.0,103976.7255339157,238104667.28812677
"Seward County, NE",46.81373983,0,4,0,4,25,110,10,0,17089,3899.0,120555.75407627119,297630834.11015844
"Jefferson County, OK",46.64179104,0,0,0,3,17,25,9,0,6432,451.0,63829.42031884558,119052333.64406338
"Amherst County, VA",46.61570017,0,7,1,7,131,391,18,2,32178,4371.0,97796.87918378461,59526166.82203169
"Greenup County, KY",46.55111038,0,4,4,8,104,154,13,3,36519,5180.0,96861.276280946,238104667.28812677
"Lake County, MN",46.39510068,0,0,0,5,20,35,3,0,10777,2616.0,91704.67680734776,178578500.4660951
"Elbert County, CO",46.34896558,0,1,1,9,39,66,3,0,23733,952.0,119167.32876736244,178578500.4660951
"Magoffin County, KY",46.33204633,1,1,0,3,20,19,3,0,12950,703.0,87686.05740668309,59526166.82203169
"Menominee County, WI",46.32846884,0,0,0,2,31,25,3,0,4317,586.0,50517.26150275915,178578500.4660951
"Llano County, TX",46.28677227,0,1,0,8,134,253,11,11,19444,2375.0,99437.48068944536,178578500.4660951
"Perry County, IN",46.01697515,2,2,0,6,35,132,8,6,19558,782.0,59944.299054455405,119052333.64406338
"Cedar County, NE",45.91895305,0,0,0,4,1,33,0,0,8711,983.0,107601.92122640951,476209334.5762535
"Morgan County, IN",45.85709782,1,5,4,22,175,1099,86,3,69782,4857.0,102099.83190339433,238104667.28812677
"Kingfisher County, OK",45.82351401,0,1,0,6,33,131,9,1,15276,2809.0,99983.33236018015,178578500.4660951
"Platte County, WY",45.63605248,0,1,0,3,23,61,5,0,8765,311.0,89155.18662176954,357157000.9321901
"Jefferson County, OH",45.61238303,0,3,5,23,91,212,10,2,67964,12405.0,99831.75703363323,833366335.5084438
"Stanton County, KS",45.57885141,0,0,0,1,1,1,0,0,2194,94.0,101404.220682475,59526166.82203169
"Trimble County, KY",45.37205082,0,1,0,3,6,10,1,0,8816,260.0,42202.8371291457,59526166.82203169
"Putnam County, IN",45.32728969,2,5,0,10,98,111,16,0,37505,1379.0,133033.59033077315,119052333.64406338
"Shelby County, IL",45.21000045,0,0,0,10,46,98,9,1,22119,3500.0,78711.26845978214,416683167.7542218
"Pierce County, ND",44.93372276,0,0,0,2,15,57,4,0,4451,1533.0,81642.46843485217,238104667.28812677
